Velocity_Vals,θ = 0.05,θ = 0.5,θ = 0.95
v0 = 20.0,4.0543827453484096e-5,5.974372675288058e-5,9.542881342604669e-5
v0 = 35.0,0.005177924136236157,0.010809303503763804,0.014279906947162357
v0 = 50.0,0.0007039330909106929,0.00010191276797941438,0.0008286761411191652
