Velocity_Vals,θ = 0.05,θ = 0.5,θ = 0.95
v0 = 20.0,2.6736295150231775e-6,5.571998582725836e-5,0.00012504965071660323
v0 = 35.0,0.0019503292615163216,0.004794863664989776,0.007625076948145827
v0 = 50.0,6.0568686530426983e-5,0.00034441584623722536,0.0007464266399160231
